minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43404,1051417,547,2471,0.1689046403491456,248.70768273721302
43405,1176150,519,2446,0.15741230209835852,255.06630829528436
43406,1125879,508,2459,0.16082052392747528,259.5330601018376
43407,1060559,508,2413,0.16954032729812363,264.55879506038946
43408,1103957,492,2460,0.16471695841227732,256.1774125122457
43409,1108140,491,2404,0.16304419918328997,251.03733696718305
43410,1253985,528,2541,0.1516046411384324,245.3228428827295
43411,1286328,506,2585,0.14876044833506594,248.4058524508165
43412,1392989,529,2554,0.13552399168690132,250.78441100869185
43413,1357521,550,2518,0.1381003611258839,250.3797537042573
43414,1213426,546,2566,0.1495482525073419,267.9228900486071
43415,1219245,537,2530,0.1499174515556187,253.00082407962705
43416,1136949,552,2572,0.15997658489428368,251.49857380793244
43417,989824,528,2522,0.18112803408481845,253.80872623163975
43418,994807,503,2502,0.17840114072773874,252.4685094553318
43419,992906,539,2462,0.17809722905690217,258.4274013678865
43420,968076,534,2497,0.18192324492289036,255.36937912827548
43421,1001897,516,2459,0.17608794742766912,270.42042399708106
43422,1077935,538,2488,0.1657931504376276,262.97243579696027
43423,1063080,535,2451,0.1690448129877093,251.6925650898533
43424,1009573,530,2463,0.17096371944470268,261.93273273754056
43425,1468286,530,2550,0.1299638634046546,242.6919324957474
43426,1426682,508,2565,0.13256046633515153,244.70441255516945
43427,1432569,505,2526,0.12806364879107293,247.32521888908403
43428,1394604,510,2479,0.1288263292511362,242.97118626792633
43429,1370811,494,2477,0.1307953893818709,242.51994934597397
43430,1365050,505,2476,0.1314104943899397,245.94012927808856
43431,1245853,510,2502,0.14296244731196012,254.8661930321668
43432,1299341,516,2501,0.13809202558449998,240.89220274524146
43433,1288420,504,2462,0.13832090987643206,241.35103662459824
43434,966637,507,2463,0.1739775334287465,251.168528133426
43435,1058164,505,2462,0.16433075003774938,253.35910454842835
43436,1017839,499,2456,0.1657860652263813,248.65477118116726
43437,973028,498,2423,0.17274720861472512,258.0990307584987
43438,979030,479,2452,0.17277069336893755,252.45715528356857
43439,902713,486,2400,0.18590505287614287,255.16384631447727
43440,760390,585,2617,0.2242552462433519,251.27653774205513
43441,768129,539,2611,0.2202471379937314,275.16211245576704
43442,701309,546,2551,0.23058146352316947,293.6126894456813
43443,780832,568,2532,0.21004962963731375,270.4480535328578
43444,777349,555,2520,0.2065657273528085,284.2985095398096
43445,785797,534,2511,0.2078989119607234,283.5289148795309
43446,804970,569,2540,0.199559188469123,269.74547687359654
43447,948621,545,2516,0.17317450638345663,273.2455663843429
43448,971522,503,2451,0.1680248605311892,272.3315295344173
43449,1068266,528,2460,0.15667493517811293,269.56956277636107
43450,1113513,513,2480,0.1514455505656434,267.68705042243806
43451,1214585,505,2445,0.1406623914662017,267.2382424390763
43452,1175617,515,2466,0.1418203132168128,259.3820709219995
43453,1186056,510,2437,0.14079895840669074,248.1809719627538
43454,1220758,502,2434,0.13764822403867344,246.1673242037469
43455,1438919,523,2525,0.12551272937183608,238.19175125005737
43456,1449837,508,2556,0.12299677399181934,234.1775244252236
43457,1348593,495,2531,0.12988976908449892,245.5491289998719
43458,1160083,502,2458,0.14147207615143495,256.65055040028636
43459,1089251,501,2417,0.1486975918681547,266.1230636371596
43460,1088383,515,2414,0.14966395907689367,257.79403116368576
43461,1091299,517,2421,0.14769628611589725,250.12454376694993
43462,1366791,515,2436,0.12304120000643896,239.16653561861955
43463,1431897,521,2432,0.11909762751718903,236.50019074392355
43464,1120999,539,2451,0.14252901093398374,243.80422528293147
43465,1116071,513,2420,0.14870184421957588,234.94007103357677
43466,1024691,495,2397,0.15639732838093884,243.9690088867348
43467,997444,510,2374,0.1617185210527989,247.4179158810317
43468,1046394,497,2427,0.1516857286442847,246.51749845659154
43469,965949,482,2370,0.16380776025753127,257.5404534823242
43470,1034067,539,2541,0.16429018369119028,259.27701445549997
43471,1094438,522,2575,0.158352184599763,236.91555531835806
43472,959044,533,2552,0.16437710507547024,266.073224038557
43473,991273,555,2518,0.16122351940384833,258.544814936104
43474,956191,524,2487,0.1635917924525644,253.17703591280429
43475,1068666,532,2458,0.1537018465095719,253.53234300797217
43476,1000827,551,2487,0.15765568260148372,246.96569586966444
43477,947887,501,2416,0.16050538893981747,260.4897045298319
43478,944304,495,2420,0.16263035977926282,258.63123550885285
43479,994545,527,2394,0.15810010374994793,256.85404937420515
43480,956276,525,2424,0.161665001145063,266.2386504055428
43481,944703,502,2391,0.16451851122840438,256.7303552011403
43482,990124,520,2440,0.15794417475386954,252.36647672174163
43483,965271,519,2422,0.1630792151126388,257.7403498976656
43484,945244,519,2420,0.16551407414909947,258.2612622566464
43485,1101090,521,2526,0.15378928808088976,235.66428810676527
43486,1037212,509,2556,0.16016988526065903,243.94642645251707
43487,1024151,488,2474,0.1589809678562893,247.0550351436232
43488,942142,500,2441,0.1654005289966759,263.90766645165166
43489,949528,485,2389,0.1626248684346288,268.4466553263686
43490,959095,483,2372,0.15972575611070192,249.6115190000901
43491,970113,507,2476,0.15957844637892232,249.71480992156745
43492,974405,500,2433,0.1588339199388367,262.743916183095
43493,1191331,501,2443,0.14320082389444921,252.08122271058582
43494,1030898,500,2435,0.1511207920938811,262.2138226761163
43495,1035039,501,2422,0.15494735747831628,254.19015168954314
43496,959698,499,2395,0.15882340242973159,249.42450419502092
43497,1042682,495,2412,0.15293158388846603,242.0182551311954
43498,957849,476,2368,0.15990588175588982,259.50035986448444
43499,956575,490,2384,0.15895666147348447,250.64730130025018
43500,1037312,550,2541,0.15579741393332258,232.32687814696254
43501,1025871,529,2571,0.1559051911546489,239.22629336054266
43502,996531,530,2473,0.15260811750061276,247.85424676058906
43503,984183,552,2507,0.15830979813103452,252.48954823510357
43504,1043734,552,2482,0.15021911839702903,248.30191277119283
43505,1033507,527,2447,0.1510548275144794,245.85035715859001
43506,967065,562,2483,0.15856629172186448,255.66355529322271
43507,972298,517,2428,0.1600267141802166,257.07143143957705
43508,965264,512,2391,0.1605377903920613,266.29473584489944
43509,1082427,518,2405,0.14609817796119118,259.6332111254039
43510,1071313,508,2407,0.14884203905021146,252.0657691104934
43511,1027354,489,2404,0.1557803366074236,249.24380494292845
43512,1033240,503,2411,0.1549235989721544,249.35270632772614
43513,1239509,489,2397,0.1386842277708252,244.48483232440316
43514,1157583,499,2392,0.1396492953127256,264.919356241042
43515,1244759,514,2529,0.1378376600209375,243.3901469140778
43516,1170170,500,2511,0.144857323088939,237.7776261151763
43517,1132824,486,2513,0.14493453608767817,244.9726157873703
43518,1259831,497,2466,0.13297973701234284,243.90207715045872
43519,1439546,482,2398,0.12235209776276325,251.67558691811894
43520,1377487,499,2370,0.12156824383969354,240.66081212301117
43521,1369130,498,2435,0.12335052858383769,241.73822569746358
43522,1373691,497,2399,0.12311435016679892,254.88050098471226
43523,1399073,513,2435,0.12250972539244316,247.11875402791145
43524,1382401,542,2471,0.12173756981656512,243.95106980050377
43525,1405187,522,2438,0.12366977307431441,249.2071103664271
43526,1404562,499,2388,0.12304429429813463,252.58426570063125
43527,1527042,512,2427,0.11909073257250923,246.40375176817042
43528,1378273,492,2395,0.12396773962488389,259.50014636384014
43529,1550797,481,2378,0.12064155092122941,250.06549193767745
43530,1424443,530,2545,0.12692575812579523,245.86377173791362
43531,1467527,518,2576,0.12394288963471843,248.94016818590595
43532,1394721,527,2580,0.1251192430672406,250.02486298643407
43533,1432431,548,2542,0.11965606825669192,253.94112822373583
43534,1369734,525,2496,0.12443205360383516,255.48574207047352
43535,1232547,520,2499,0.13661169744357973,263.04106626109353
43536,1191110,540,2518,0.1395923061790879,253.72144198905406
43537,1185944,509,2481,0.1427164807671977,248.8038246002046
43538,1157171,486,2472,0.14596621708978386,247.42338998604922
43539,1195501,524,2501,0.15153556989412223,236.64261156183883
43540,900802,516,2475,0.1821230140097043,258.8330817472519
43541,894118,499,2469,0.18280546176454945,257.9971679097917
43542,1002292,526,2504,0.16702295102624296,260.10345132501396
43543,1180953,512,2480,0.15373723279416407,249.5505398304864
43544,960630,505,2435,0.17519196804491713,265.47971994945755
