funcName,invocations,pods,users,avg_cpu,avg_memory,avg_runtime,category
798,6930,101,2,0.6034442810966804,311.5938657640686,0.08161608167388164,Hot
253,6858,24,2,1.0436399230096238,38.78728766462525,0.5217474301545637,Hot
293,6849,330,2,0.38085889662724676,107.3463826608263,0.021546755730763624,Hot
1776,6779,57,1,0.11852256837291769,26.728015755126115,0.0010260017701725955,Hot
1365,6493,101,2,0.6983729869089788,324.5161808840291,0.20545601909748967,Hot
418,6483,345,4,0.25572179855005334,57.18220429415395,0.06201815347832784,Hot
498,6342,59,3,0.1332865391043863,25.992743710501415,0.0020643669189530107,Hot
1685,6338,3,3,0.22156897301987977,47.867093805302005,0.15585738450615366,Hot
353,6274,1063,5,0.528811783391775,269.8427148171823,0.33740757443417346,Hot
322,6032,665,3,0.9796457884615384,320.40787280636596,6.859898106100798,Hot
409,6002,3,2,0.11544082255914707,33.99695534588445,0.28499977674108623,Hot
1340,5787,4,3,0.3994176974252596,113.30821435925321,0.036622439778814624,Hot
361,5783,2,2,0.3997840883624378,132.00566857859238,0.041680431609891065,Hot
1036,5783,2,2,0.3987813250907794,184.21938561905594,0.08250088760159097,Hot
6919,5782,1,1,0.2999969486336769,114.58759339847833,0.020273768765133173,Hot
1681,5765,45,2,0.26002064076321957,32.94547170251515,0.06712290893321782,Hot
1122,5741,162,2,0.28363172287056687,88.40251108657027,0.008884870928409692,Hot
796,5647,104,2,0.29108693005134617,118.37965892828079,0.018827170887196744,Hot
2213,5357,101,2,0.22011326824715347,44.74679958465558,3.1475224627590137,Hot
153,5340,606,3,0.27940080468164513,28.685876054494397,0.04780295636704121,Hot
10,5164,263,3,0.21845489078234015,39.208627349147854,0.42277915666150256,Hot
909,4995,3,2,0.11984341861861965,53.00802052752751,1.9457457457457457e-06,Hot
5,4850,98,3,0.031800175257731926,33.71067005773206,0.004497486185567,Hot
471,4802,50,3,0.051096050603914867,33.220594931278264,0.0008148965014577257,Hot
11,4800,481,2,0.22692862750000056,34.74515629083331,0.0757390295833333,Hot
283,4609,146,3,0.053490438272944196,25.59873346105446,0.939331862876979,Hot
416,4560,582,3,0.1968149263157903,34.83695689429819,0.12706515394736825,Hot
172,4362,52,4,0.1826382171022484,200.45404286038521,0.21514435648784952,Hot
2081,4200,101,2,0.2544813964285752,29.386583892857143,0.007826626904761907,Hot
30,4184,139,4,0.2064706658699844,43.3033412268163,0.0028903257648183562,Hot
1767,4067,2,2,0.09676977452667843,36.48457280599923,0.05932871944922548,Hot
297,4064,107,3,0.8314562202263786,414.19899190305154,0.31613124680118104,Hot
149,3927,152,5,0.23646138120702825,651.5640933893553,2.3957766205754996,Hot
858,3902,100,1,0.785175760379269,281.8182841414653,0.18427413505894416,Hot
190,3897,197,4,0.50675545034642,599.2664828642546,1.2975607359507315,Hot
2026,3822,100,1,1.0021261533228762,361.84645836473004,0.039627363422292006,Hot
3941,3665,37,1,0.29972751896316957,71.06685812660294,0.02422738308321964,Hot
1176,3624,721,3,0.4158329445364168,134.0595206967441,0.4109287119205298,Hot
1139,3519,15,1,0.17604406933788252,48.482396887468056,0.001530485080988918,Hot
309,3366,2,2,0.3899349007724329,215.94189981283358,0.0025226313131313143,Hot
142,3360,482,3,0.1672013654761933,37.49306408928572,0.002151897023809524,Hot
181,3343,145,4,0.09667935207897106,40.00963067424469,0.04213613072090941,Hot
388,3312,145,2,0.22217114613526648,35.96254655736723,0.055040085144927524,Hot
1629,3218,6,3,0.42681574052206916,230.50893555034108,0.007051073958980734,Hot
831,3169,290,3,0.07547455979804356,48.5055242303569,1.038036041337961,Hot
156,3133,14,4,0.11284128694541935,44.56159855569746,4.250346232684331,Hot
1818,3110,134,3,0.3788608745980603,127.74788109196153,0.03511121929260452,Hot
36,3065,85,5,0.3825878652528445,147.02816733703108,0.0325731458401305,Hot
212,3053,78,4,0.38355710743529897,143.29432122011133,0.017159673763511317,Hot
1173,3043,75,3,0.3837795760762299,136.4887022960894,0.020282692080184052,Hot
159,2982,53,3,0.12923189201877935,35.46020265861831,0.204383423876593,Hot
1645,2953,50,3,0.39391262038603725,162.8705832028447,1.416448611242804,Hot
532,2929,51,3,0.24982039842950363,34.911007095254284,1.425614673950154,Hot
478,2928,332,2,0.33944718681693997,29.38681880122953,0.021450484631147557,Hot
1981,2928,49,2,0.09423788319672109,56.61752107377057,0.09282734904371599,Hot
3444,2918,1279,1,0.03817753392734751,55.42264874811524,131.36407884167244,Hot
1781,2911,8,3,0.399261567159041,141.8317294503605,0.05830471143936791,Hot
854,2911,8,3,0.3990748969426205,133.65764960906895,0.017983667468223965,Hot
194,2910,7,4,0.3993892202749032,168.68058027525765,0.03350265257731959,Hot
310,2910,7,4,0.39873870103091696,158.87162933676987,0.02280665017182132,Hot
2102,2908,5,2,0.3993234095598241,129.47828864408535,0.01737997283356256,Hot
389,2908,5,4,0.39927416609352423,142.69092537070134,0.11761270116918843,Hot
2017,2908,5,3,0.3993752953920112,172.08489779367255,0.061801326341127824,Hot
1938,2907,4,3,0.3989391988303985,170.4442978992092,0.019893967320261444,Hot
1140,2906,4,3,0.3995019993117579,167.39245039745322,0.03825039298004131,Hot
1147,2906,3,3,0.3997414532002644,139.64599913214036,0.03801054198210598,Hot
1296,2906,2,2,0.39954326703371246,139.4894332319339,0.018282421541637985,Hot
919,2906,3,2,0.399737697178241,134.35538132278057,0.020691615622849276,Hot
1796,2906,3,2,0.3997339552649581,129.04256812973134,0.018047432897453537,Hot
1841,2905,2,2,0.3998713290877688,143.24510553115314,0.073535908777969,Hot
1867,2905,2,2,0.10920031290877798,107.74019400481912,0.0015408020654044756,Hot
1519,2905,3,2,0.3994622423407809,137.3842942340791,0.018570525301204815,Hot
1492,2905,2,2,0.3998538409638445,167.49561636282277,0.026639609294320167,Hot
954,2905,2,2,0.3997788223752043,143.94901563166948,0.017561530808950107,Hot
1580,2905,2,2,0.39974891497417153,135.89569970740118,0.01757479070567984,Hot
1320,2904,2,2,0.3997540688705125,147.55464855371886,0.016119628443526178,Hot
2023,2904,1,1,0.3999999999999891,144.96038730716248,0.016350185606060594,Hot
991,2904,1,1,0.3999999999999891,145.51650470385653,0.01735546074380163,Hot
170,2883,23,4,0.09259981997918831,169.9595770496009,3.46339305133542,Hot
2042,2882,4,3,0.24013911172796729,44.64044746807788,0.08689440909090906,Hot
2232,2880,1,1,0.07129538124999997,72.37068961458333,0.48276621249999957,Hot
1799,2880,2,1,0.09691972326388881,36.640980331944505,0.0007973357638888892,Hot
5655,2880,1,1,0.30000000000000737,40.962898738888846,0.00605168090277778,Hot
1270,2880,1,1,0.1924946170138909,27.003744786458427,0.0012151767361111114,Hot
2219,2880,2,2,0.4005615472222225,432.06019526736077,0.003249301736111112,Hot
734,2879,1,1,0.2569055522751002,26.687904180965717,0.0017938999652657155,Hot
144,2863,25,3,0.2146763953894559,26.463821832693007,0.0027013873559203626,Hot
83,2779,172,4,0.0778721331414178,95.43675214789492,1.2799167376754226,Hot
2288,2669,46,1,0.2325422948669911,46.97978536493084,0.24325118358935907,Hot
580,2659,103,3,0.2645543369687906,34.15240836479883,0.0044044279804437755,Hot
1253,2583,150,3,0.2329658025551685,35.84020217111876,0.14629558265582662,Hot
1263,2539,422,3,0.1525550681370619,73.28929636471051,0.265001258369437,Hot
146,2509,525,4,0.11350847708250304,505.71083654244717,2.7338447269828636,Hot
54,2496,49,2,0.4389857139423077,74.82906023878178,0.0010971742788461552,Hot
1575,2423,72,2,0.26765777342138325,33.0616326958316,0.04686912711514651,Hot
591,2411,971,9,0.05988294815429278,35.19006798257985,0.015173883450850262,Hot
1474,2403,4,2,0.2764501248439456,69.29120323761968,0.003310019975031212,Hot
545,2401,2,2,0.17757554394002678,70.49172309621005,0.0012128563098708885,Hot
135,2400,482,3,0.16664798166666842,30.361564146249997,0.38728896291666626,Hot
2154,2400,96,1,0.5771345941666768,147.46295569166656,0.028405688750000005,Hot
2063,2351,106,2,0.8658294844746897,301.2567127158655,0.35210211059123747,Hot
78,2182,297,5,0.5088163354720515,135.26455983684696,0.03860530247479377,Hot
5599,2160,305,1,0.11222007592592549,25.27234159444445,0.0018457851851851842,Hot
2281,2104,100,1,1.2824311173954372,401.09851388212917,0.07459992538022807,Hot
1170,2083,236,3,0.10337303120499251,25.134095200192043,0.0020904296687469953,Hot
1880,2013,101,2,0.203013749627422,39.59486194088426,2.8493581847988065,Hot
1903,2004,385,3,0.14073760079840306,44.25011319461048,0.2625262879241516,Hot
148,1958,519,3,0.12723211491317618,29.370844174157234,0.17723012461695584,Hot
85,1950,545,4,0.0888559774358973,932.6839181082051,3.36084305692308,Hot
34,1947,76,4,0.12960755726759093,27.328331775038187,0.001886475089881869,Hot
671,1924,5,3,0.15150637266112252,35.54238605353435,0.002465316008316009,Hot
515,1920,481,2,0.1047636031249995,62.66242675156254,1.415637897395833,Hot
2864,1920,1,1,0.13605837968749962,34.828487119270825,0.0011349536458333323,Hot
61,1909,152,3,0.2599827187008939,44.98265411576737,0.021037865374541633,Hot
1074,1851,359,2,0.2706450999459752,101.91856581307393,5.105033632631011,Hot
1046,1839,373,2,0.172079924415443,44.5621324942903,0.10715393637846655,Hot
6362,1838,1,1,0.08827643471164308,141.1004063492929,0.006755863982589772,Hot
1929,1819,92,3,0.4884377064321106,149.14326864376017,0.014254791643760308,Hot
2142,1793,54,3,0.08810167819297253,29.38621768600111,0.0012834082543223642,Hot
285,1778,340,4,0.090569298087739,34.75446233127092,1.1101280489313818,Hot
3402,1774,292,1,0.24572299210823162,38.8669937356257,0.0,Hot
167,1763,192,4,0.19027364378899625,39.43824004480996,0.044639990357345415,Hot
589,1761,2,2,0.21139911811470766,169.64484057864917,0.008385731970471324,Hot
1367,1734,6,3,0.03633636101499423,111.15592550000011,4.902861602076123,Hot
